,id,user,tweet,date,query,polarity
0,1579504640340955136,PierrickGirault,à lyon pour le tour préliminaire des jo de 2024 ?,2022-10-10 16:10:26+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
1,1579503236998103040,Libomabbk,mddr ce pays est ridicule frere comment on a accueilli la finale de ldc et dire qu’on a les jo 2024,2022-10-10 16:04:52+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
2,1579502443213500417,ControleurPM733,"paris : à quoi ressemblera la gare du nord, rénovée d'ici aux jo 2024 ?",2022-10-10 16:01:42+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
3,1579501990086070279,Phe_noss,j’étais à gare du nord la vie les jo 2024 on vas bien rire,2022-10-10 15:59:54+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
4,1579500816666603520,LagacheNicolas,ceux qui vous critiquent n'ont jamais mis les pieds dans un dojo et encore moins porté un judoji....je sais la critique tellement facile assis dans son canapé mais je suis sûr que tous ensemble vous vous releverez encore plus fort au jo de paris 2024,2022-10-10 15:55:15+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
5,1579498181951651840,Arnaud_Pericard,terre de talents !    a consacré un reportage sur les 2 nageurs &amp; frères saint-germanois  et  2 étoiles montantes de la natation française qui rêvent  d’un objectif : l’or pour les,2022-10-10 15:44:46+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
6,1579494067305861123,veillet_s,∑ℚℚ ℝ d’avant 17:22  en                 ᚙ⇘ 17522c,2022-10-10 15:28:25+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
7,1579491025353334784,Stphane28931193,il s'entraîne pour les jo 2024 ?,2022-10-10 15:16:20+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
8,1579488924040572929,Astrolabe75011,meme par la couturière ?,2022-10-10 15:07:59+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
9,1579482932032729096,Kamel1805,"ce serait ironique les jo 2024 avec une canicule et des feux de forêt en france, par quoi le journal tv va commencer ses actualités ? les jo ou les feux de forêt ?",2022-10-10 14:44:11+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
10,1579481186325344256,ConstructionCay,jo 2024 : les travaux du prisme sont lancés,2022-10-10 14:37:14+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
11,1579481095556714499,FFVoile,"alors que paris 2024 a organisé samedi la première journée de promotion du parasport, la mobilisation de la ffvoile ne faiblit pas pour développer la pratique handivoile et que celle-ci fasse son retour aux jo de los angeles en 2028 !  l'actu ici",2022-10-10 14:36:53+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
12,1579478181383262208,VoltePhase,"bravo, encore un train out 2 minutes avant son arrivée en station  vous allez être bien pour les",2022-10-10 14:25:18+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
13,1579476310463684608,villette19e,un magnifique  paris 18 . vivement les,2022-10-10 14:17:52+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
14,1579475376400896001,PsgAlger,"pour rappel, la france va organiser les jo 2024...",2022-10-10 14:14:09+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
15,1579474583354478592,VousCons,"annuler les jo 2024 c'est ce que  ferai un pays démocratique notre régime totalitaire préfère s'attaquer à la liberté individuelle en premier, il s'introduit dans nos vies jusqu'à nous dire quand sortir ,quoi allumer ,quoi s'injecter quoi penser.",2022-10-10 14:11:00+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
16,1579468091423330305,BerneauDylan,"le marathon pour les jo de paris a été annoncé par le cojo paris 2024 dans l'ambition de raconter une histoire en passant par la tour eiffel, trocadéro, louvre et d'autres monuments historique.",2022-10-10 13:45:12+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
17,1579466415652089858,JTimmiah,a priori l'etat attend 2026 quoique je ne me demande si macron qui ronge son frein pour éviter le bad buzz et la position victimaire du duo belliard hidalgo responsables du  n'attend pas peut-être l'après   pour les sanctionner comme ils le méritent...,2022-10-10 13:38:33+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
18,1579463404963917828,ParisSaclay,"[ paris-saclay, terre de jeux 2024, accueillera au sein de l' le marathon olympique de",2022-10-10 13:26:35+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
19,1579459966821601282,Agence_du_Sport,"ce samedi 8 octobre avait lieu la première journée paralympique orchestrée par  ,   ,  .   découvrez l’action de l’agence nationale du sport pour le parasport et le paralympisme.",2022-10-10 13:12:55+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
20,1579453769699700737,estimeo,"[levée de fonds de la semaine] leader français de la vente en ligne d’articles de sport, l’eti toulousaine  lève 100m€ pour implanter une 10aine de magasins supplémentaires en france d’ici aux jo 2024 et accroître sa présence européenne",2022-10-10 12:48:18+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
21,1579452678031433732,SANDALIOCARMONA,jo 2024 : le plan de soutien aux équipements sportifs de proximité concernera désormais toutes les communes  via,2022-10-10 12:43:57+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
22,1579450884874178560,clemtomlinson42,"si melnikova le pense vraiment, j'espère qu'on ne la reverra pas avant longtemps dans une compétition internationale et encore moins aux jo 2024.",2022-10-10 12:36:50+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
23,1579447334391361536,lemonde_sport,jo 2024 : le plan de soutien aux équipements sportifs de proximité concernera désormais toutes les communes,2022-10-10 12:22:43+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
24,1579446920077983745,RDelinfo,"paris : à quoi ressemblera la gare du nord, rénovée d'ici aux jo 2024 ? -  abandonnée fin 2021, l'importante rénovation de la gare du nord doit muer – comme présenté par gares &amp; connexions en mars dernier – en un projet...voir la source",2022-10-10 12:21:05+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
25,1579446129422667776,MICKAEL8023,force et courage aux gymnaste ukrainienne  j'espère que melnikova sera suspendu et pour longtemps !! j'espère que l'on verra aucune russe au jo2024 !! de toute façon elles peuvent pas ce qualifié et avoir de qotas vue qu'il ne concours dans aucune épreuve ?,2022-10-10 12:17:56+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
26,1579440188593692672,checanez,hahahahahahahahaha  jo 2024 !!!! si paris existe toujours !!!!,2022-10-10 11:54:20+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
27,1579438330374402048,AurelieCoudouel,. habille les volontaires des  !  via,2022-10-10 11:46:57+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
28,1579435649123627009,adrotitanique,ça marche que sur samsung lr l'instant.  et est en bêta sur android. ils 2023 (voire 2024 pr les jo),2022-10-10 11:36:17+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
29,1579433882868649984,ErsiliaSoudais,"ce samedi, à l'adapt'athlon de  pour découvrir, entre autres, le volley assis. une pratique qui devrait avoir toute sa place dans le cadre de l'enseignement de l'eps à l'école et j'espère aussi que cette discipline sera pérennisée même après les jo de paris 2024.",2022-10-10 11:29:16+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
30,1579432833374093318,LesmediasM,"«paris : à quoi ressemblera la gare du nord, rénovée d'ici aux jo 2024 ?»  au tiers-monde.",2022-10-10 11:25:06+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
32,1579425409221160961,signorelems,pas un mot sur le jo2024 …,2022-10-10 10:55:36+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
33,1579423789804556288,JOParis2024,pk devrait-on prendre le classement 1 tour avant? hier qd max passe la ligne il reste 3sec donc d'après le règlement il devrait y avoir encore 2 tours et non 1. il n'y en a eu que 1 seul. donc leclerc aurait encore dû faire 1 tour comme à singapour.,2022-10-10 10:49:10+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
34,1579421482114895873,ecom_news,: le comité d'organisation des  a annoncé une campagne de 500  pour les six prochains mois ce qui portera les effectifs à 1350.,2022-10-10 10:40:00+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
35,1579415608948854788,Baleineau23,"ah  je rajouterai votre réseau sera une honte pour les jo 2024, vous avez du mal à gérer le réseau en temps normal pour les franciliens mais avec les touristes ça va être un désastre.",2022-10-10 10:16:39+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
36,1579406658551545858,desrues_jerome,c'est tous les jours la même chose et dans les deux sens rame vétuste changement de destination à la dernière minute travaux qui ne finisse jamais peut-être que se sera terminé avant 2024 pour les jo rassurer vous il y a pire la ligne c !!!,2022-10-10 09:41:06+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
37,1579402868448145413,Laetilewistiti,c’est hyper flippant de voir ces images et de se dire que dans quelques temps il y aura les jo 2024,2022-10-10 09:26:02+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
38,1579401493719191562,JOParis2024,"en france, la dta et même ça commence dans les ligues, vu que les consignes viennent d'en haut, les seuls protégés de cela sont les jaf qui lorsqu'ils arbitrent en fédé peuvent arbitrer comme en angleterre mais dès le retour en ligue et f4-f3 faut montrer ton autorité.",2022-10-10 09:20:34+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
39,1579401271022587904,LMDPSG,rien ne sera fait avant les jo 2024,2022-10-10 09:19:41+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
40,1579400581877469184,JOParis2024,"ceux que tu ne prends pas en compte dans ton analyse? c'est un jeu pour les spectateurs, mais aucunement pour les joueurs-arbitres-staff-président. donc il faut encore plus prendre cela en compte. d'où les réactions avec l'arbitre des joueurs-staff-président.",2022-10-10 09:16:57+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
41,1579399564632936449,JOParis2024,"il y a une analogie entre ceux qui se passent en france sur le terrain de foot et dans la rue avec les forces de l'ordre. on ne donne pas les bons moyens aux arbitres et aux policiers, et donc les joueurs-gens trouvent qu'ils sont trop autoritaires car incompréhension.",2022-10-10 09:12:54+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
42,1579399165045772288,JOParis2024,je trouve que l'argument le foot est un jeu pour retoqué ma comparaison entre les joueurs qui contestent les décisions de l'arbitre comme dans notre société avec les gens remettant en cause l'autorité des forces de l'ordre n'est pas logique.,2022-10-10 09:11:19+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
43,1579398587594964994,JOParis2024,"où je diverge c'est quand tu dis que vu que le foot est un jeu c'est normal qu'ils râlent, contestent...bah si on te prend aux mots on peut dire surtout son contraire. pk réagir en vers l'arbitre pour un jeu alors qu'avec la police tu joues ton permi, ton argent, tes points.",2022-10-10 09:09:01+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
44,1579398068910559239,JOParis2024,"c'est toi qui dit comparer foot et police c'est que tu comprends rien au foot. car le foot est un jeu. oui c'est du sport, un jeu, mais on y compte les points, il y a des enjeux colossaux plus qu'ailleurs dans le sport. je n'ai jamais dis le contraire.",2022-10-10 09:06:58+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
45,1579397558073712641,JOParis2024,"mais tu ne piges pas un truc, c'est toi qui t'excites car tu crois qu'on a  2 visions différentes. j'essaye depuis des années de faire bouger cela au niveau dta-cfa, de donner des infos à la presse...car mieux que personne je sais qu'on fait fausses routes, stage après stage",2022-10-10 09:04:56+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
46,1579396830907207681,JOParis2024,"le gouvernement incite au télé-travail, met chez nous à la maison avec linky on risque les coupures et maintenant la possibilité de couper les box à distance. on va faire comment en télé-travail? et nos enfants pour travailler!",2022-10-10 09:02:02+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
47,1579394901812604929,Astrolabe75011,quand le lis  je me dis qu'il a un court circuit dans sa cervelle ramollie en chantilly,2022-10-10 08:54:22+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
48,1579393874405232640,93Caue,"les jna dimanche 16 octobre 2022 à 14h, prenez part à une visite en courant qui vous permettra de (re)découvrir le patrimoine sportif de l'ile-st-denis, st-ouen et st-denis, et qui sera également l'occasion de traverser le village des athlètes des jo 2024.",2022-10-10 08:50:18+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
49,1579393051038191616,Astrolabe75011,hé mimile la farine et les arbres déjà coupés t'en fais quoi ?,2022-10-10 08:47:01+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
50,1579392987922325504,rtslaradiodusud,"le double champion du monde de décathlon  était à  hier pour inaugurer la nouvelle piste bleue du stade philippidès, qui a la particularité d'être connectée",2022-10-10 08:46:46+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
51,1579390055692800003,hk_idf,j'espère que tu vas boycotter les jo 2024 à paris aussi,2022-10-10 08:35:07+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
52,1579387784573263874,LeDL_Grenoble,"cyclisme / nos 24 paris pour paris-2024 . c'est un combattant, il ne veut que gagner : avant les jo de paris, rayan helal rêve déjà d'or aux mondiaux sur piste",2022-10-10 08:26:06+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
53,1579387472613584896,lncnc_all,les boucles de tina deviennent un centre de préparation pour les jo 2024,2022-10-10 08:24:51+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
54,1579382735021682691,pprumduch,le monde libre doit aider l'ukraine à conquérir les zones occupées. cela me rappelle les nazis qui pratiquent les tuerie de masse. la russie doit également être exclue des jo 2024.,2022-10-10 08:06:02+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",2
55,1579376610339590146,RoletH_,"de la com de  à la  en passant par les débats sur  et la préparation aux   camille chaize,  a accepté de répondre à mes questions pour  et de livrer un aperçu de son quotidien ! par ici",2022-10-10 07:41:41+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
56,1579373828710408192,FondationMT,"dîner de collecte de la  2022 13/10, dîner-croisière sur la seine avec antoine frérot, président de  sur la thématique de l’eau &amp; des  pour aider les élèves disposant de peu de ressources au sein des 8 écoles",2022-10-10 07:30:38+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",4
